Bus,,,,,,,,,,,,,,,,,,
Number,Name,Area Name,Sub ID,Sub Name,Sub Num,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
40593,GRIJOH22,NORTHWEST,3337415779,Keeler,337415779,500,1.09424,547.122,-16.87,,,,,,0,0,40,405
40961,COUSCH21,NORTHWEST,3337422960,Schultz,337422960,500,1.0942,547.099,-9.25,,,,,,0,0,40,403
40958,COUSCH11,NORTHWEST,3337422960,Schultz,337422960,500,1.0942,547.099,-9.25,,,,,,0,0,40,403
41450,KNIGHT,NORTHWEST,Found on WECC map,Knight,52000131,500,1.09328,546.639,-13.65,,,,,,0,0,40,403
40697,MALROU22,PG AND E,3337417425,Malin,337417425,500,1.09306,546.532,-27.46,,,,,,0,0,30,300
30036,MAXTRA11,PG AND E,3337429215,Tracy,337429215,500,1.09231,546.155,-42.88,,,,,,0,0,30,300
40720,BUCMAR11,NORTHWEST,3337408209,Buckley,337408209,500,1.09223,546.116,-19.82,,,,,,0,0,40,404
40699,MARION,NORTHWEST,3337417576,Marion,337417576,500,1.09214,546.072,-23.86,,,,,0,0,0,40,402
30072,LOSMID13,PG AND E,3337418181,Midway Peaker (MIDWAY),337418181,500,1.09206,546.03,-39.66,,,,,,0,0,30,300
45039,CAPOLI13,PG AND E,3337419925,Olinda,337419925,500,1.09198,545.988,-35.14,,,,,,0,0,30,300
40837,PONDROSA,NORTHWEST,3337421061,Ponderosa,337421061,500,1.0916,545.8,-18.97,,,,,,0,0,40,405
40941,SANTIAM,NORTHWEST,3337422861,Santiam,337422861,500,1.09152,545.759,-24.06,,,,,,0,0,40,402
40716,ASHMAR21,NORTHWEST,3337406571,Ashe,337406571,500,1.0912,545.602,-8.45,,,,,,0,0,40,404
30005,ROUND MT,PG AND E,3337422310,Round Mountain,337422310,500,1.09036,545.181,-29.04,-559.56,142.6,,,,0,0,30,300
40722,JOHMAR11,NORTHWEST,3337415584,John Day Ph,337415584,500,1.09035,545.177,-18.94,,,,,,0,0,40,404
40381,ECHOLAKE,NORTHWEST,3337411565,Echo Lake,337411565,500,1.08991,544.954,-15.36,,,,,750.75,0,0,40,400
40096,BELL SC,NORTHWEST,3337407193,Bell,337407193,500,1.08986,544.93,3.78,,,,,-176.74,0,0,40,406
40710,GRIMAL26,NORTHWEST,3337414038,Grizzly Power,337414038,500,1.08969,544.844,-18.74,,,,,,0,0,40,405
40711,ECHMAP11,NORTHWEST,3337417861,Mcloughlin,337417861,500,1.08951,544.756,-15.45,,,,,,0,0,40,400
30027,OLIMAX12,PG AND E,3341136469,Maxwell,341136469,500,1.08948,544.742,-36.89,,,,,,0,0,30,300
30032,TABVAC12,PG AND E,3337408507,Calpeak Vaca Dixon No. 1,337408507,500,1.08931,544.657,-40.15,,,,,,0,0,30,300
41062,BELTAF11,NORTHWEST,3337411304,Dworshak,337411304,500,1.08866,544.328,6.84,,,,,,0,0,40,406
41058,RAVTAC11,NORTHWEST,3337424717,Tacoma,337424717,500,1.08843,544.215,-14.82,,,,,,0,0,40,400
40869,RAVER,NORTHWEST,3337421613,Raver,337421613,500,1.08843,544.215,-14.81,,,,,759.02,0,0,40,400
51667,MLS 5C2W,B.C.HYDRO,3337417859,Mcleese Capacitor Station,337417859,500,1.08831,544.156,-15.97,,,,,,0,0,50,500
50987,MLS 5C1W,B.C.HYDRO,3337417859,Mcleese Capacitor Station,337417859,500,1.08827,544.136,-15.97,,,,,,0,0,50,500
40490,BUCGRI11,NORTHWEST,25000019,Greenbry,25000019,500,1.08803,544.016,-14.93,,,,,,0,0,40,404
41060,RAVTAC12,NORTHWEST,3337424728,Taft,337424728,500,1.08793,543.967,-15.24,,,,,,0,0,40,400
40834,PONDROSB,NORTHWEST,3337421061,Ponderosa,337421061,500,1.08785,543.925,-19.28,,,,,,0,0,40,405
40155,BUCKLEY,NORTHWEST,3337408209,Buckley,337408209,500,1.08778,543.89,-14.66,,,,,,0,0,40,404
40488,GRIZZ R3,NORTHWEST,3337414038,Grizzly Power,337414038,500,1.08716,543.578,-17.82,,,,,0,0,0,40,405
60240,MIDPOINT,IDAHO,3337418158,Midpoint,337418158,500,1.08686,543.432,-19.08,-8.46,-752.61,,,-129.2,0,0,60,613
40702,GRIMAL22,NORTHWEST,3337414038,Grizzly Power,337414038,500,1.08665,543.325,-17.8,,,,,,0,0,40,405
30018,ROUTAB21,PG AND E,3337422310,Round Mountain,337422310,500,1.08662,543.31,-25.4,,,,,,0,0,30,300
30016,ROUTAB11,PG AND E,3337422310,Round Mountain,337422310,500,1.08653,543.264,-25.43,,,,,,0,0,30,300
40964,ECHSCH11,NORTHWEST,3337411565,Echo Lake,337411565,500,1.08637,543.183,-13.75,,,,,,0,0,40,400
40489,GRIZZLY,NORTHWEST,3337414038,Grizzly Power,337414038,500,1.08628,543.139,-17.65,,,,,-292.52,0,0,40,405
40976,RAVSCH31,NORTHWEST,3337423081,Selle,337423081,500,1.0862,543.1,-10.53,,,,,,0,0,40,400
40978,RAVSCH41,NORTHWEST,3337423081,Selle,337423081,500,1.08603,543.015,-10.25,,,,,,0,0,40,400
45038,CAPOLI12,PG AND E,3337408690,Captain Jack,337408690,500,1.08574,542.871,-23.13,,,,,,0,0,30,300
43115,COYO M1,NORTHWEST,3337410234,Coyote Springs,337410234,500,1.08568,542.838,8.08,,,,,,0,0,40,451
41051,TACOMA,NORTHWEST,3337424717,Tacoma,337424717,500,1.08546,542.728,-16.65,,,,,,0,0,40,400
45029,BURNS,NORTHWEST,3337408315,Burns,337408315,500,1.08538,542.689,-23.73,,,,,0,0,0,40,405
40698,MALROU23,PG AND E,3337422310,Round Mountain,337422310,500,1.08532,542.662,-31.25,,,,,,0,0,30,300
40712,ECHMAP12,NORTHWEST,3337417523,Maple Valley,337417523,500,1.08516,542.579,-16.42,,,,,,0,0,40,400
40693,MAPLE VL,NORTHWEST,3337417523,Maple Valley,337417523,500,1.085,542.5,-16.46,,,,,,0,0,40,400
50880,SYA 5C2M,B.C.HYDRO,,,,500,1.08498,542.49,-11.66,,,,,,0,0,50,500
50879,SYA 5C1M,B.C.HYDRO,,,,500,1.08498,542.488,-11.66,,,,,,0,0,50,500
50596,MLS 5C3W,B.C.HYDRO,3337417859,Mcleese Capacitor Station,337417859,500,1.08494,542.472,-15.98,,,,,,0,0,50,500
45036,CAPOLI11,PG AND E,3337408690,Captain Jack,337408690,500,1.08431,542.156,-22.57,,,,,,0,0,30,300
40306,COVINGT5,NORTHWEST,3337410205,Covington,337410205,500,1.08422,542.11,-15.72,,,,,,0,0,40,400
40989,SLATT,NORTHWEST,3337423497,Slatt,337423497,500,1.08399,541.995,-9.04,,,,,0,0,0,40,404
40694,MALROU12,PG AND E,3337422310,Round Mountain,337422310,500,1.08374,541.868,-31.2,,,,,,0,0,30,300
43123,COYOTE,NORTHWEST,3337410234,Coyote Springs,337410234,500,1.08371,541.857,-5.88,-7.47,-241.41,,,,0,0,40,451
40629,LANE,NORTHWEST,3337416446,Lane,337416446,500,1.0837,541.848,-27.67,,,,,,0,0,40,402
40302,COVINGT4,NORTHWEST,3337410205,Covington,337410205,500,1.08367,541.833,-15.86,,,,,,0,0,40,400
40500,COUHAN11,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.0835,541.748,-0.57,,,,,,0,0,40,404
40809,OSTRNDER,NORTHWEST,3337420092,Ostrander,337420092,500,1.0833,541.649,-23,,,,,372.48,0,0,40,401
44284,LONGHORN,NORTHWEST,,,,500,1.08318,541.59,-5.69,,,,,,0,0,40,404
40973,SICKLER,NORTHWEST,3337423346,Sickler,337423346,500,1.083,541.499,-2.52,,,,,,0,0,40,403
40957,SCHULTZ,NORTHWEST,3337422960,Schultz,337422960,500,1.08285,541.427,-6.8,,,,,-290.68,0,0,40,403
41401,ROCK CK,NORTHWEST,32008950,Rock Creek,32008950,500,1.08236,541.182,-10.86,,,,,,0,0,40,404
43485,ROUND BU,NORTHWEST,3337422305,Round Butte,337422305,500,1.08205,541.023,-17.73,,,,,,0,0,40,451
30015,TABLE MT,PG AND E,3337424710,Table Mt.,337424710,500,1.08194,540.969,-31.68,-537.76,278.05,,,0,0,0,30,300
40499,HANFORD,NORTHWEST,3337414242,Hanford,337414242,500,1.08172,540.862,-4.1,,,,,0,0,0,40,404
41113,VANTAGE,NORTHWEST,3337431517,Vantage,337431517,500,1.08152,540.762,-4.53,,,,,,0,0,40,403
40827,PEARL,NORTHWEST,3337420488,Pearl,337420488,500,1.08147,540.737,-25.01,,,,,340.35,0,0,40,401
30035,TRACY,PG AND E,3337429215,Tracy,337429215,500,1.08132,540.662,-37.76,700.78,-116.33,,,701.56,0,0,30,300
18440,MIRANT,NEVADA,3337406394,Apex (MIR),337406394,500,1.08117,540.584,-24.02,-333.16,-93.87,,,,0,0,18,182
40913,SACJAWEA,NORTHWEST,3337422524,Sacajawea,337422524,500,1.08117,540.583,-1.79,68.35,-159.92,,,,0,0,40,404
40917,SACJWA T,NORTHWEST,3337422524,Sacajawea,337422524,500,1.08116,540.581,-1.78,,,,,,0,0,40,404
18400,SLHWK,NEVADA,3337423407,Silverhawk,337423407,500,1.08112,540.559,-24.11,-109,-63.3,,,,0,0,18,182
40459,GARRISON,NORTHWEST,3337413294,Garrison,337413294,500,1.081,540.499,15.99,,,,,-434.7,0,0,40,486
40666,CEN FERY,NORTHWEST,Found Sub,Central Ferry,52000118,500,1.08077,540.386,3.27,,,,,0,0,0,40,407
40960,COUSCH12,NORTHWEST,3337422960,Schultz,337422960,500,1.08077,540.384,-2.21,,,,,,0,0,40,403
40962,COUSCH22,NORTHWEST,3337422960,Schultz,337422960,500,1.08077,540.384,-2.21,,,,,,0,0,40,403
18437,LENZ CB1,NEVADA,3337409143,Charles Lenzie,337409143,500,1.08068,540.342,-24.26,-105.58,-53.36,,,,0,0,18,181
18438,LENZ CB2,NEVADA,3337409143,Charles Lenzie,337409143,500,1.08068,540.342,-24.26,-105.58,-53.35,,,,0,0,18,181
41138,WAUTOMA,NORTHWEST,3337432067,Wautoma,337432067,500,1.08065,540.326,-5.91,,,,,-289.5,0,0,40,403
41311,CELILO1,NORTHWEST,3337408977,Celilo Dc Converter Station,337408977,500,1.08064,540.322,-13.87,,,,,,0,0,40,404
41312,CELILO2,NORTHWEST,3337408977,Celilo Dc Converter Station,337408977,500,1.08064,540.322,-13.87,,,,,,0,0,40,404
40111,BIG EDDY,NORTHWEST,3337407430,Big Eddy,337407430,500,1.08064,540.321,-13.87,,,,,,0,0,40,404
40996,BUCSLA11,NORTHWEST,3337423568,Snohomish,337423568,500,1.0806,540.3,-6.75,,,,,,0,0,40,404
41095,TROUTDAL,NORTHWEST,3337429325,Troutdale,337429325,500,1.08058,540.291,-24.29,,,,,,0,0,40,401
18430,LENZIE,NEVADA,3337409143,Charles Lenzie,337409143,500,1.08053,540.266,-24.27,,,,,,0,0,18,184
40062,ASHE R1,NORTHWEST,3337406571,Ashe,337406571,500,1.08045,540.227,-3.59,,,,,0,0,0,40,404
18425,HA CC,NEVADA,3337414364,Harry Allen,337414364,500,1.08029,540.147,-24.16,-105.98,-46.12,,,,0,0,18,182
18897,RSHASC2,NEVADA,,,,500,1.08024,540.118,-24.16,,,,,,0,0,18,649
18450,H ALLEN,NEVADA,3337414364,Harry Allen,337414364,500,1.08023,540.115,-24.16,,,,,-116.69,0,0,18,184
30030,VACA-DIX,PG AND E,3337408507,Calpeak Vaca Dixon No. 1,337408507,500,1.08014,540.072,-35.84,617.17,-348.81,,,,0,0,30,300
30055,GATES,PG AND E,3337413317,Gates Peaker,337413317,500,1.08012,540.062,-39.15,492.66,-170.96,,,,0,0,30,300
41740,COULEE20,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.08008,540.039,3.87,,,,,,0,0,40,403
41739,COULEE19,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.08008,540.039,3.87,,,,,,0,0,40,403
41741,COULEE21,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.08008,540.039,3.87,,,,,,0,0,40,403
41057,TAFT,NORTHWEST,3337424728,Taft,337424728,500,1.08006,540.029,9.95,,,,,-216.97,0,0,40,486
41744,COULEE24,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.08004,540.021,3.88,,,,,,0,0,40,403
41743,COULEE23,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.08004,540.02,3.89,,,,,,0,0,40,403
41742,COULEE22,NORTHWEST,3337413746,Grand Coulee,337413746,500,1.08001,540.007,3.88,,,,,,0,0,40,403
