Bus Num,Bus Name,Sub ID,Sub Name,Sub Num
40913,SACJAWEA,3337422524,Sacajawea,337422524
40917,SACJWA T,3337422524,Sacajawea,337422524
18400,SLHWK,3337423407,Silverhawk,337423407
40459,GARRISON,3337413294,Garrison,337413294
40666,CEN FERY,Found Sub,Central Ferry,52000118
40962,COUSCH22,3337422960,Schultz,337422960
40960,COUSCH12,3337422960,Schultz,337422960
18437,LENZ CB1,3337409143,Charles Lenzie,337409143
18438,LENZ CB2,3337409143,Charles Lenzie,337409143
41138,WAUTOMA,3337432067,Wautoma,337432067
41311,CELILO1,3337408977,Celilo Dc Converter Station,337408977
41312,CELILO2,3337408977,Celilo Dc Converter Station,337408977
40111,BIG EDDY,3337407430,Big Eddy,337407430
40996,BUCSLA11,3337423568,Snohomish,337423568
41095,TROUTDAL,3337429325,Troutdale,337429325
18430,LENZIE,3337409143,Charles Lenzie,337409143
40062,ASHE R1,3337406571,Ashe,337406571
18425,HA CC,3337414364,Harry Allen,337414364
18897,RSHASC2,,,
18450,H ALLEN,3337414364,Harry Allen,337414364
30055,GATES,3337413317,Gates Peaker,337413317
41740,COULEE20,3337413746,Grand Coulee,337413746
41739,COULEE19,3337413746,Grand Coulee,337413746
41741,COULEE21,3337413746,Grand Coulee,337413746
30030,VACA-DIX,3337408507,Calpeak Vaca Dixon No. 1,337408507
41057,TAFT,3337424728,Taft,337424728
41744,COULEE24,3337413746,Grand Coulee,337413746
41743,COULEE23,3337413746,Grand Coulee,337413746
41742,COULEE22,3337413746,Grand Coulee,337413746
623207,COLSTRIP 500,,,
40679,LOW GRAN,3337417159,Lower Granite,337417159
40665,LIT GOOS,3337416875,Little Goose,337416875
40287,COULEE,3337413746,Grand Coulee,337413746
40683,LOW MON,3337417166,Lower Monumental,337417166
40233,CHIEF JO,3337409315,Chief Joseph,337409315
40061,ASHE,3337406571,Ashe,337406571
40585,JOHN DAY,3337415584,John Day Ph,337415584
43049,BOARD F,3337407727,Boardman (PGE),337407727
