Sub Name,Sub ID,Area Name,Latitude,Longitude
Little Goose,3337416875,NORTHWEST,46.58,-118.05
Little Goose Ph,3337416876,NORTHWEST,46.58,-118.03
Lolo,3337416974,NORTHWEST,46.36,-116.92
Lone Pine,3337417000,NORTHWEST,42.35,-122.81
Longview,3337417029,NORTHWEST,46.14,-122.99
Mint Farm Energy Center LLC,3337417033,NORTHWEST,46.14,-122.99
Lower Granite,3337417159,NORTHWEST,46.65,-117.42
Lower Monumental,3337417166,NORTHWEST,46.55,-118.54
Mabton,3337417302,NORTHWEST,46.2,-119.97
Malin,3337417425,NORTHWEST,42.01,-121.32
Maple Valley,3337417523,NORTHWEST,47.47,-122.19
March Point Cogeneration Compa,3337417544,NORTHWEST,48.47,-122.57
Marion,3337417576,NORTHWEST,44.8,-122.7
Martin Creek,3337417639,NORTHWEST,43.74,-123.12
Massachusetts,3337417690,NORTHWEST,47.59,-122.34
Maupin,3337417718,NORTHWEST,45.2,-121.03
Mayfield,3337417739,NORTHWEST,46.5,-122.59
McDonald,3337417812,NORTHWEST,47.15,-119.22
Mcloughlin,3337417861,NORTHWEST,45.34,-122.56
McNary,3337417877,NORTHWEST,45.92,-119.31
Meridian,3337418010,NORTHWEST,49.31,-122.81
Midway,3337418164,NORTHWEST,38.56,-104.69
Monroe,3337418498,NORTHWEST,39.72,-104.94
Moscow,3337418713,NORTHWEST,46.74,-116.94
Mossyrock,3337418728,NORTHWEST,46.53,-122.43
Munro BPA System Control Center,3337418854,NORTHWEST,47.75,-117.38
Murray,3337418877,NORTHWEST,48.15,-122.08
N. Lewiston,3337418960,NORTHWEST,46.43,-117.03
North Mountain,3337419562,NORTHWEST,48.21,-121.93
Noxon Rapids,3337419718,NORTHWEST,47.96,-115.74
O'Brien,3337419754,NORTHWEST,47.4,-122.24
Olympia,3337419946,NORTHWEST,47,-122.95
Ostrander,3337420092,NORTHWEST,45.36,-122.41
Outlook,3337420132,NORTHWEST,46.38,-120.08
Pamona Heights,3337420273,NORTHWEST,46.62,-120.47
Parkdale,3337420356,NORTHWEST,45.53,-121.56
Paul,3337420435,NORTHWEST,46.75,-122.87
Pearl,3337420488,NORTHWEST,47.27,-122.52
Pelton,3337420530,NORTHWEST,44.69,-121.23
Pilot Butte,3337420757,NORTHWEST,43.2,-108.76
Pine Creek,3337420777,NORTHWEST,47.54,-116.22
Ponderosa,3337421061,NORTHWEST,39.56,-104.76
Port Angeles,3337421090,NORTHWEST,48.1,-123.42
Port Of Washington,3337421123,NORTHWEST,46.14,-122.94
Potholes,3337421174,NORTHWEST,47.11,-119.53
Priest Rapids,3337421284,NORTHWEST,46.65,-119.91
Rattlesnake Switchyard,3337421603,NORTHWEST,46.92,-113.97
Raver,3337421613,NORTHWEST,47.34,-121.93
Reston,3337421788,NORTHWEST,43.18,-123.56
Rivergate,3337421994,NORTHWEST,45.61,-122.77
Rocky Ford,3337422176,NORTHWEST,38.05,-103.72
Rocky Reach,3337422187,NORTHWEST,47.53,-120.29
Rogue,3337422206,NORTHWEST,42.48,-124.4
J.D. Ross,3337422285,NORTHWEST,45.66,-122.66
Ross Dam,3337422288,NORTHWEST,48.73,-121.07
Round Butte,3337422305,NORTHWEST,44.61,-121.28
Roundup,3337422319,NORTHWEST,45.64,-118.75
Sacajawea,3337422524,NORTHWEST,46.24,-118.89
Sacheen,3337422525,NORTHWEST,48.18,-117.28
Salem,3337422637,NORTHWEST,44.93,-123.09
Sammamish,3337422702,NORTHWEST,47.69,-122.15
Sand Dunes,3337422782,NORTHWEST,47.15,-119.28
Santiam,3337422861,NORTHWEST,44.77,-122.67
Satsop,3337422900,NORTHWEST,46.97,-123.46
Schultz,3337422960,NORTHWEST,47.12,-120.51
Sedro Woolley,3337423057,NORTHWEST,48.51,-122.2
Selle,3337423081,NORTHWEST,48.36,-116.53
Shawnee,3337423199,NORTHWEST,46.88,-117.29
Shelton,3337423244,NORTHWEST,47.23,-123.12
Sherwood,3337423288,NORTHWEST,45.37,-122.84
Sickler,3337423346,NORTHWEST,47.54,-120.28
Sifton,3337423364,NORTHWEST,45.65,-122.5
Silver Creek,3337423386,NORTHWEST,46.52,-122.59
Slatt,3337423497,NORTHWEST,45.7,-120.15
Sno-king,3337423567,NORTHWEST,47.81,-122.19
Snohomish,3337423568,NORTHWEST,47.92,-122.1
South,3337423666,NORTHWEST,47.57,-122.33
South Bremerton,3337423685,NORTHWEST,47.56,-122.65
Southwest,3337423849,NORTHWEST,47.19,-122.49
Springfield,3337423974,NORTHWEST,44.04,-123
St. Johns,3337424074,NORTHWEST,45.6,-122.75
St. Marys,3337424093,NORTHWEST,45.51,-122.84
Stateline Wind Project - Washington,3337424189,NORTHWEST,46,-118.74
Summer Lake,3337424493,NORTHWEST,43.01,-120.96
Swift,3337424647,NORTHWEST,45.94,-122.64
Tacoma,3337424717,NORTHWEST,47.26,-122.37
Taft,3337424728,NORTHWEST,47.45,-115.58
Tahkenitch,3337424732,NORTHWEST,43.74,-124.08
Talbot,3337424742,NORTHWEST,47.47,-122.21
Diamond Hill,3337427366,NORTHWEST,44.25,-123.05
Walla Walla,3337427717,NORTHWEST,46.07,-118.38
Wallula,3337427736,NORTHWEST,46.06,-118.85
Redmond,3337427914,NORTHWEST,44.27,-121.17
TAP372,3337428144,NORTHWEST,48.74,-117.66
Isthmus,3337428270,NORTHWEST,43.34,-124.19
The Dalles Ph,3337428918,NORTHWEST,45.62,-121.12
Tillamook,3337429041,NORTHWEST,45.46,-123.83
Toledo,3337429118,NORTHWEST,44.62,-123.92
Trojan,3337429314,NORTHWEST,46.04,-122.92
Troutdale,3337429325,NORTHWEST,45.56,-122.4
Trumble Creek,3337429337,NORTHWEST,48.4,-114.21
Tumble Creek,3337429371,NORTHWEST,44.73,-122.19
Union Gap,3337429530,NORTHWEST,46.56,-120.49
Newberg,3337430120,NORTHWEST,45.34,-123
Usk,3337431401,NORTHWEST,48.29,-117.27
Vantage,3337431517,NORTHWEST,46.88,-119.94
Wahluke (GP),3337431797,NORTHWEST,46.73,-119.76
Wanapum,3337431892,NORTHWEST,46.88,-119.94
Warner,3337431926,NORTHWEST,41.5,-120.53
Wauna,3337432057,NORTHWEST,46.15,-123.41
Wautoma,3337432067,NORTHWEST,46.51,-119.84
Wells (DOPD),3337432169,NORTHWEST,47.95,-119.87
Wendson,3337432181,NORTHWEST,44.01,-124.01
Wheeler,3337432446,NORTHWEST,47.18,-119.23
White Bluffs,3337432470,NORTHWEST,46.36,-119.36
White Creek Wind Project,3337432474,NORTHWEST,45.83,-120.36
White River (PSPL),3337432490,NORTHWEST,47.24,-122.21
Wild Horse Project,3337432576,NORTHWEST,47.02,-120.19
Windishar,3337432684,NORTHWEST,45.23,-123.17
Biglow Canyon Wind,3340406598,NORTHWEST,45.65,-120.63
COB Energy Facility,3341136828,NORTHWEST,42.2,-121.78
Copco 1,3341136831,NORTHWEST,41.98,-122.34
Dixon,3342617491,NORTHWEST,47.35,-114.32
Trout Creek,3342617588,NORTHWEST,47.82,-115.58
Shepherds Flat Wind Farm,3349561028,NORTHWEST,45.77,-120.05
Marengo Wind Project,3349561030,NORTHWEST,46.34,-117.94
McKenzie,3352749856,NORTHWEST,44.09,-123.04
Hurricane,3352749973,NORTHWEST,45.43,-117.3
LaGrande,3352749979,NORTHWEST,45.34,-118.03
Harorton,3352750170,NORTHWEST,45.62,-122.8
Murryhill,3352750182,NORTHWEST,45.44,-122.83
Sunset,3352750211,NORTHWEST,45.55,-122.92
Wren,3352750245,NORTHWEST,44.59,-123.51
Golden Hills Wind Farm,3352750394,NORTHWEST,45.59,-120.7
Goodnoe Hills East,3352750395,NORTHWEST,45.83,-120.74
Frederickson (PSPL),3353097497,NORTHWEST,47.08,-122.36
Glenoma,3353097684,NORTHWEST,46.52,-122.14
Napavine,3353097789,NORTHWEST,46.63,-122.72
Berrydale,3353097805,NORTHWEST,47.35,-122.18
Tap,3353098003,NORTHWEST,47.88,-117.44
Tap,3353098074,NORTHWEST,47.42,-120.26
Sieler,3353098122,NORTHWEST,47.17,-119.16
Upper Coulee,3353098139,NORTHWEST,47.22,-119.16
Rathdrum Power LLC,3353098165,NORTHWEST,47.79,-116.92
Black,3353098171,NORTHWEST,46.95,-119.62
Ancient Lake,3353098173,NORTHWEST,47.12,-119.93
Mac Valley,3353098178,NORTHWEST,47.19,-119.44
McKenzic,3353098186,NORTHWEST,47.34,-120.1
Windy Point/Tuolumne,3356868812,NORTHWEST,45.76,-120.71
Canyon Rd-Tacoma (evi),4.00381E+12,NORTHWEST,47.1,-122.36
