Branch,,,,,,,,,,,,,,
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Mvar From ,MVA From ,Lim MVA,% of MVA Limit (Max),MW Loss,Mvar Loss
10999,TAIBANMS,13402,BLACKWTR,1,Closed,Line,NO,0,-46.6,46.6,753,6.2,0.01,-60.48
11010,AMRAD,11017,ARROYO,99,Closed,Line,NO,-5.6,0.3,5.6,0,0,-0.01,0.24
11038,CALIENTE,11010,AMRAD,1,Closed,Line,NO,66.4,-44.9,80.1,250,32.1,0.14,-51.23
11010,AMRAD,11061,DIABLO,99,Closed,Line,NO,-5.6,2.4,6.1,0,0,0.07,0.45
11010,AMRAD,11111,NEWMAN,99,Closed,Line,NO,-4.7,0.6,4.8,0,0,0.02,0.23
11266,PICANTE,11010,AMRAD,1,Open,Line,NO,0,0,0,863,0,0,0
11010,AMRAD,11266,PICANTE,99,Closed,Line,NO,-1.2,0.3,1.2,0,0,0,0.03
11010,AMRAD,13400,ARTESIA,1,Open,Line,NO,0,0,0,250,0,0,0
11014,ARR___PS,11017,ARROYO,1,Closed,Transformer,YES,151,21.4,152.5,400,38.1,0.52,5.02
11017,ARROYO,11038,CALIENTE,99,Closed,Line,NO,2.2,-0.1,2.2,0,0,0,0.06
11017,ARROYO,11061,DIABLO,99,Closed,Line,NO,-7.6,4,8.6,0,0,0.01,0.28
11017,ARROYO,11093,LUNA,99,Closed,Line,NO,-23.7,3.8,24,0,0,0.3,3.39
11111,NEWMAN,11017,ARROYO,1,Closed,Line,NO,37.3,3.8,37.5,551,8.9,0.02,-27.85
11017,ARROYO,11111,NEWMAN,99,Closed,Line,NO,-0.9,-0.5,1,0,0,0,0.01
11017,ARROYO,11266,PICANTE,99,Closed,Line,NO,1.4,-0.1,1.4,0,0,0,0.02
11038,CALIENTE,11061,DIABLO,99,Closed,Line,NO,-28.1,7.8,29.2,0,0,0,1.64
11038,CALIENTE,11111,NEWMAN,99,Closed,Line,NO,-8.1,-0.5,8.1,0,0,0.01,0.25
11038,CALIENTE,11266,PICANTE,1,Closed,Line,NO,-250.7,5.3,250.7,600,41.8,0.2,-4.61
11038,CALIENTE,11266,PICANTE,2,Open,Line,NO,0,0,0,863,0,0,0
11038,CALIENTE,11266,PICANTE,99,Closed,Line,NO,-3.7,-0.3,3.7,0,0,0,0.03
11047,MACHO_SPRNGS,11093,LUNA,1,Closed,Line,NO,259.2,-20.1,259.9,939,28.3,0.73,-15.27
11047,MACHO_SPRNGS,11286,MACHOSPRNGHV,1,Closed,Line,NO,0,-3,3,0,0,0,0
11047,MACHO_SPRNGS,16104,SPRINGR,1,Closed,Line,NO,-259.2,23.2,260.2,939,28.4,5.99,-121.27
11093,LUNA,11061,DIABLO,1,Closed,Line,NO,283.6,39.5,286.3,820,34.9,3.25,-46.06
11061,DIABLO,11111,NEWMAN,99,Closed,Line,NO,11.3,-8.4,14.1,0,0,0.02,0.42
11217,AFTON,11061,DIABLO,1,Open,Line,NO,0,0,0,820,0,0,0
11061,DIABLO,11266,PICANTE,99,Closed,Line,NO,14.1,-4.7,14.8,0,0,0.04,0.73
11093,LUNA,11080,HIDALGO,1,Closed,Line,NO,23.3,72.7,76.3,577,13.2,0.06,-44.81
11080,HIDALGO,11093,LUNA,99,Closed,Line,NO,-0.9,-1.9,2.1,0,0,0,0.02
11080,HIDALGO,16101,GREENLEE,1,Closed,Line,NO,5.8,80.4,80.6,717.1,11.2,0.07,-51.93
11093,LUNA,11217,AFTON,1,Closed,Line,NO,334.6,-61.5,340.2,586,58,3.41,-22.79
11093,LUNA,11217,AFTON,2,Open,Line,NO,0,0,0,820,0,0,0
11111,NEWMAN,11217,AFTON,1,Closed,Line,NO,-329.4,26.3,330.5,801,41.6,1.72,-12.45
11266,PICANTE,11111,NEWMAN,1,Closed,Line,NO,-295.5,-7.2,295.6,600,49.4,0.67,-8.57
11111,NEWMAN,11266,PICANTE,99,Closed,Line,NO,6.4,0.6,6.4,0,0,0,0.14
11217,AFTON,11242,AFTON_N,1,Open,Line,NO,0,0,0,939,0,0,0
12058,PEGS1,14101,FOURCORN,99,Closed,Line,NO,-8.3,3.1,8.8,0,0,0.02,0.36
12058,PEGS1,16102,MCKINLEY,99,Closed,Line,NO,-1.9,-1,2.2,0,0,0,0.02
12082,TAOS,70654,COMANCHE,99,Closed,Line,NO,-28.8,3.3,29,0,0,-3.16,14.88
12250,SOCORO_W,16104,SPRINGR,1,Closed,Line,NO,-1,-0.1,1,10,10,0,0
13401,ARTESIAR,13400,ARTESIA,1,Open,Line,NO,0,0,0,861.7,0,0,0
14000,CHOLLA,14012,CHOSAG11,1,Closed,Series Cap,NO,733.4,-29,734,1516,48.6,0,-87.09
14017,SGRLF,14000,CHOLLA,1,Closed,Line,NO,97.7,-60.5,114.9,1957.2,5.9,0.03,-46.95
14000,CHOLLA,14100,CHOLLA,99,Closed,Line,NO,273.6,237.2,362.2,0,0,0.12,10
14000,CHOLLA,14901,CHOLLA2,1,Closed,Transformer,YES,-259.2,26.6,260.6,305,85.4,0.78,36.28
14000,CHOLLA,14902,CHOLLA3,1,Closed,Transformer,YES,-269.2,28.4,270.7,305,88.8,0.86,39.14
14000,CHOLLA,14903,CHOLLA4,1,Closed,Transformer,YES,-377.3,33.9,378.9,504,75.2,0.67,48.27
14001,FOURCORN,14008,FOUMOE11,1,Closed,Line,NO,701.8,25.9,702.3,1732,40.5,8.4,-181.46
14001,FOURCORN,14101,FOURCORN,99,Closed,Line,NO,50.8,349.8,353.4,0,0,0.12,12.57
14001,FOURCORN,14915,FCNGN5CC,1,Closed,Transformer,YES,-748.2,97.2,754.5,924,81.7,1.66,110.13
