Sub Num,Sub Name,Sub ID,Latitude,Longitude,Nominal kV(max)
337407727,Boardman (PGE),3337407727,45.69,-119.81,500
337407771,Bonanza,3337407771,40.09,-109.29,345
337407786,Bonneville,3337407786,45.64,-121.94,230
337407809,Borah,3337407809,42.7,-113.24,345
337407819,Bordertown,3337407819,39.66,-120,345
337407825,Bothell,3337407825,47.86,-122.18,230
337407839,Boulder Park,3337407839,47.7,-117.15,230
337407846,Boundary,3337407846,48.98,-117.36,230
337407863,Bowie Power Station,3337407863,32.36,-109.49,345
337407876,Bowmont,3337407876,43.44,-116.56,500
337407878,Box Canyon (PEND),3337407878,48.78,-117.42,13.8
337407954,Brawley - SCE,3337407954,32.97,-115.53,13.8
337407956,Brazeau Hydro,3337407956,52.91,-115.38,13.8
337407989,Bridge River Terminal,3337407989,50.72,-122.23,360
337408132,Browning,3337408132,33.36,-111.6,500
337408135,Brownlee,3337408135,44.84,-116.9,13.8
337408209,Buckley,3337408209,45.23,-120.9,500
337408315,Burns,3337408315,43.68,-118.77,500
337408422,Cabinet Gorge,3337408422,48.09,-116.06,230
337408462,Calapooya,3337408462,44.38,-123.01,230
337408489,Caliente,3337408489,31.83,-106.25,345
337408507,Calpeak Vaca Dixon No. 1,3337408507,38.4,-121.92,500
337408525,Camas,3337408525,45.58,-122.38,69
337408558,Camp Williams,3337408558,40.47,-111.95,345
337408606,Canby 2,3337408606,41.44,-120.88,230
337408670,Cape Cockburn Cable Terminal,3337408670,49.67,-124.18,500
337408690,Captain Jack,3337408690,42.08,-121.39,500
337408757,Carlton,3337408757,45.28,-123.15,230
337408764,Carmen Smith,3337408764,44.34,-122,11.5
337408830,Carver,3337408830,45.4,-122.53,230
337408843,Cascade,3337408843,37.53,-107.79,230
337408867,Castaic,3337408867,34.59,-118.66,18
337408945,Cedar Falls (SCL),3337408945,47.43,-121.78,6.6
337408977,Celilo Dc Converter Station,3337408977,45.6,-121.11,500
337409045,Centralia,3337409045,46.73,-122.95,69
337409051,Centralia Switching Station,3337409051,46.73,-122.84,500
337409113,Chandler,3337409113,46.21,-119.77,115
337409130,Chapmans Capacitor Station,3337409130,49.61,-121.37,500
337409143,Charles Lenzie,3337409143,36.38,-114.92,500
337409200,Cheekye,3337409200,49.8,-123.1,500
337409201,Chehalis,3337409201,46.62,-122.92,230
337409204,Chelan,3337409204,47.81,-119.99,11
337409209,Chemawa,3337409209,45.01,-123,230
337409220,Chenoweth,3337409220,45.64,-121.2,230
337409223,Cherokee (PSCO),3337409223,39.81,-104.97,22
337409315,Chief Joseph,3337409315,47.99,-119.65,500
337409332,Chiloquin,3337409332,42.59,-121.84,230
337409370,Cholla,3337409370,34.94,-110.3,500
337409381,Christopher,3337409381,47.29,-122.24,230
337409518,Clark (NEVP),3337409518,36.09,-115.05,13.8
337409539,Clatsop,3337409539,46.14,-123.84,230
337409552,Clayburn,3337409552,49.06,-122.24,500
337409579,Clearwater 2,3337409579,43.25,-122.34,12
337409756,Cold Springs,3337409756,45.89,-119.23,230
337409867,Columbia,3337409867,47.29,-120.08,230
337409874,Columbia Falls,3337409874,48.36,-114.14,230
337409906,Comanche,3337409906,38.27,-104.62,345
337409919,Combine Hills Turbine Ranch,3337409919,45.93,-118.63,34.5
337409954,Con Kelley,3337409954,48.39,-114.13,230
337409971,Condon Windpower LLC,3337409971,45.28,-120.19,0.6
337410014,Contra Costa,3337410014,38.02,-121.76,18
337410062,Copco # 2,3337410062,41.98,-122.36,6.6
337410112,Coronado,3337410112,34.58,-109.28,500
337410170,Cougar,3337410170,44.13,-122.24,6.9
337410194,Cove,3337410194,42.53,-111.8,230
337410205,Covington,3337410205,47.35,-122.12,500
337410218,Cowlitz,3337410218,46.11,-122.94,230
337410221,Cowlitz Falls,3337410221,46.46,-122.1,230
337410230,Coyote Creek,3337410230,41.17,-116.35,345
337410234,Coyote Springs,3337410234,45.85,-119.67,500
337410259,Craig (TSGT),3337410259,40.47,-107.59,345
337410269,Cranbrook,3337410269,49.5,-115.54,500
337410290,Creekside Cap. Stn.,3337410290,50.38,-122.63,500
337410309,Creston,3337410309,47.51,-122.27,230
337410341,Crockett Cogen,3337410341,38.05,-122.22,18
337410409,Crystal River,3337410409,36.42,-114.84,500
337410456,Currant Creek,3337410456,39.82,-111.9,345
337410467,Cushman 1,3337410467,47.42,-123.22,13.2
337410468,Cushman 2,3337410468,47.37,-123.16,12.6
337410469,Cusick,3337410469,48.33,-117.37,230
337410472,Custer,3337410472,48.9,-122.62,500
337410535,Dalreed,3337410535,45.76,-120,230
337410554,Daniels Park,3337410554,39.49,-104.91,345
337410647,De Moss,3337410647,45.52,-120.69,0.6
337410784,Delridge,3337410784,47.55,-122.37,230
337410791,Delta Energy Center (CPN),3337410791,38.02,-121.85,24
337410804,Luna Energy Facility,3337410804,32.3,-107.78,345
337410854,Desert Basin,3337410854,32.89,-111.78,18
337410875,Detroit,3337410875,44.72,-122.25,230
337410879,Devers,3337410879,33.94,-116.58,500
337410898,Dexter,3337410898,43.92,-122.8,13.8
337410919,Diablo,3337410919,48.71,-121.13,345
337410921,Diablo Canyon,3337410921,35.22,-120.85,500
337411001,Dixonville,3337411001,43.21,-123.24,500
337411112,Douglas,3337411112,47.53,-120.29,230
337411162,Driscoll,3337411162,46.15,-123.41,230
337411184,Dry Gulch,3337411184,46.4,-117.21,230
337411257,Dunsmuir,3337411257,49.39,-124.63,500
337411301,Duwamish,3337411301,47.51,-122.31,230
337411304,Dworshak,3337411304,46.51,-116.3,500
337411372,Eagle Point,3337411372,42.55,-122.57,2.4
337411468,East Omak,3337411468,48.43,-119.5,230
337411487,East Shore,3337411487,37.63,-122.12,18
337411547,Eastpine,3337411547,47.61,-122.3,230
337411565,Echo Lake,3337411565,47.49,-121.87,500
337411677,El Segundo,3337411677,33.91,-118.42,18
337411689,Eldorado,3337411689,39.94,-105.26,500
337411699,Electron,3337411699,47.03,-122.22,2.3
337411728,Elk Hills Power Project,3337411728,35.28,-119.47,18
337411753,Ellerslie,3337411753,53.43,-113.46,500
337411844,Encina,3337411844,33.14,-117.33,24
337411848,Encogen NW,3337411848,48.75,-122.48,13.8
337411894,Enterprise,3337411894,45.4,-117.3,69
337411929,Escalante,3337411929,35.42,-108.09,17.6
337411938,Escondido Peaker,3337411938,33.14,-117.17,18
337411966,Etiwanda,3337411966,34.09,-117.53,18
337412085,Fairmount,3337412085,47.98,-122.88,230
337412090,Fairview,3337412090,43.21,-124.07,230
337412100,Falcon,3337412100,40.79,-116.5,345
337412135,Faraday,3337412135,45.25,-122.3,13.8
337412257,Finley,3337412257,46.16,-119.15,13.8
337412272,Fish Creek,3337412272,43.29,-122.47,6.9
