Sub ID,Sub Name,Bus Number,Bus Name,Area Name,Nom kV
3337412090,Fairview,40410,FAIRVEW2,NORTHWEST,230
3337412334,Flathead,40421,FLATHEAD,NORTHWEST,230
3337412618,Franklin,40443,FRANKLIN,NORTHWEST,230
3337413294,Garrison,40451,GAR1EAST,NORTHWEST,500
3337413294,Garrison,40453,GAR2EAST,NORTHWEST,500
3337413294,Garrison,40457,GARRISON,NORTHWEST,230
3337406299,Anaconda Mill Creek,40458,ANA BPA,NORTHWEST,230
3337413294,Garrison,40459,GARRISON,NORTHWEST,500
3337413928,Green Valley,40487,GREENVLT,NORTHWEST,230
3337414038,Grizzly Power,40488,GRIZZ R3,NORTHWEST,500
3337414038,Grizzly Power,40489,GRIZZLY,NORTHWEST,500
25000019,Greenbry,40490,BUCGRI11,NORTHWEST,500
3337414242,Hanford,40499,HANFORD,NORTHWEST,500
3337413746,Grand Coulee,40500,COUHAN11,NORTHWEST,500
3337414273,Happy Valley,40505,HAPPY V,NORTHWEST,230
3337414395,Harvalum,40511,HARVALUM,NORTHWEST,230
3337414409,Haskill,40513,HASKILL,NORTHWEST,230
3337414433,Hatwai,40519,HATWAI,NORTHWEST,230
3337414433,Hatwai,40521,HATWAI,NORTHWEST,500
30004101,Hew,40531,HEW 2,NORTHWEST,230
30004101,Hew,40533,HEW 2 TP,NORTHWEST,230
3337414741,Hilltop,40537,HIL TOP,NORTHWEST,230
3337414923,Horse Heaven,40549,HORSE HV,NORTHWEST,230
3337414947,Hot Springs,40551,HOT SPR,NORTHWEST,230
3337414947,Hot Springs,40553,HOT SPR,NORTHWEST,500
3337415035,Hungry Horse,40557,HUNGRY H,NORTHWEST,230
3337415252,Intalco,40573,INTALCO,NORTHWEST,230
3337415584,John Day Ph,40584,JOHN DAY,NORTHWEST,230
3337415584,John Day Ph,40585,JOHN DAY,NORTHWEST,500
3337414038,Grizzly Power,40588,GRIJOH11,NORTHWEST,500
3337414038,Grizzly Power,40591,GRIJOH12,NORTHWEST,500
3337415779,Keeler,40592,GRIJOH21,NORTHWEST,500
3337415779,Keeler,40593,GRIJOH22,NORTHWEST,500
,,40598,KEELER E,NORTHWEST,230
3337415779,Keeler,40599,KEELER W,NORTHWEST,230
3337415779,Keeler,40601,KEELER,NORTHWEST,500
3337416058,Kitsap,40613,KITSAP,NORTHWEST,230
3337416058,Kitsap,40615,KITSAP 2,NORTHWEST,230
3352749979,LaGrande,40621,LAGRANDE,NORTHWEST,230
3337416431,Lancaster,40624,LANCASTR,NORTHWEST,230
3337407193,Bell,40626,BELLAN11,NORTHWEST,230
3337416446,Lane,40627,LANE,NORTHWEST,230
3337416446,Lane,40629,LANE,NORTHWEST,500
3337416186,La Pine,40635,LAPINE,NORTHWEST,230
3337416735,Lexington,40651,LEXINGTN,NORTHWEST,230
3337416752,Libby - USCEPD,40657,LIBBY,NORTHWEST,230
Found Sub,Central Ferry,40664,CEN FERY,NORTHWEST,230
3337416875,Little Goose,40665,LIT GOOS,NORTHWEST,500
Found Sub,Central Ferry,40666,CEN FERY,NORTHWEST,500
3337417029,Longview,40671,LONGVIEW,NORTHWEST,230
3337417029,Longview,40672,LONGVANX,NORTHWEST,230
3337417029,Longview,40673,LONGVW T,NORTHWEST,230
3337417159,Lower Granite,40679,LOW GRAN,NORTHWEST,500
3337417166,Lower Monumental,40683,LOW MON,NORTHWEST,500
3337417425,Malin,40684,MALIN R1,NORTHWEST,500
3337417302,Mabton,40685,MABTON,NORTHWEST,230
32008906,Spring Creek,40686,SPRINGCK,NORTHWEST,230
3337417425,Malin,40687,MALIN,NORTHWEST,500
3337417425,Malin,40688,MALIN R3,NORTHWEST,500
3337417523,Maple Valley,40689,MAPLE V3,NORTHWEST,230
3337417523,Maple Valley,40691,MAPLE VL,NORTHWEST,345
3337417523,Maple Valley,40692,MAPLEV12,NORTHWEST,230
3337417523,Maple Valley,40693,MAPLE VL,NORTHWEST,500
3337417576,Marion,40699,MARION,NORTHWEST,500
3337414038,Grizzly Power,40700,GRIMAL21,NORTHWEST,500
3337417639,Martin Creek,40701,MARTINTP,NORTHWEST,230
3337414038,Grizzly Power,40702,GRIMAL22,NORTHWEST,500
3337417425,Malin,40704,GRIMAL23,NORTHWEST,500
3337417639,Martin Creek,40705,MARTN CR,NORTHWEST,230
3337417425,Malin,40706,GRIMAL24,NORTHWEST,500
3337414038,Grizzly Power,40708,GRIMAL25,NORTHWEST,500
3337417718,Maupin,40709,MAUPIN,NORTHWEST,230
