Substation,,,,,,,,,,,,,,
Sub Num,Sub Name,Sub ID,Area Name,Zone Name,# of Buses,Nominal kV(max),Latitude,Longitude,Gen MW,Gen Mvar,Load MW,Load Mvar,Shunt MW,Shunt Mvar
240740985,Dawn (Rosamond One) (evi),2.40741E+12,,,0,0,34.91,-118.26,,,,,,
240740990,Twilight (Rosamond Two) (evi),2.40741E+12,,,0,0,34.91,-118.26,,,,,,
247400901,Alta East (evi) (Sun Creek),2.47401E+12,,,0,0,35.04,-118.28,,,,,,
247400920,Alba Generation (evi) (Abengoa Alpha),2.47401E+12,,,0,0,35.02,-117.35,,,,,,
247400925,Ocaso Generation (evi) (Abengoa Beta),2.47401E+12,,,0,0,35.01,-117.32,,,,,,
261220901,Harper Lake (evi),2.61221E+12,,,0,0,35.03,-117.35,,,,,,
303340935,Mountain House (evi),3.03341E+12,,,0,0,37.8,-121.58,,,,,,
303600915,Collinsville (evi),3.03601E+12,,,0,0,38.12,-121.83,,,,,,
337405809,Aberdeen,3337405809,NORTHWEST,"Seattle Area, Olympic Peninsula",2,230,46.98,-123.85,,,,,300.51,-69.49
337405870,Addy,3337405870,NORTHWEST,"Spokane Area, N Idaho, W Montana",2,230,48.33,-117.83,,,,,54.1,-12.63
337405874,Adel-Sieben,3337405874,,,0,0,47.13,-111.52,,,,,,
337405901,AES Alamitos,3337405901,SOCALIF,SCE Los Angeles Basin 230kV,1,18,33.77,-118.1,127.48,105.23,,,363.9,-93.99
337406029,Albany,3337406029,NORTHWEST,Western Oregon,1,230,44.62,-123.13,,,,,216.67,-130.01
337406047,Alberton,3337406047,,,0,0,46.99,-114.51,,,,,,
337406065,Alcoa,3337406065,NORTHWEST,Portland Area,1,230,45.65,-122.73,,,,,116.8,-92.92
337406092,Alfalfa,3337406092,NORTHWEST,Lower Columbia Basin,1,230,46.3,-120.22,,,2.6,0.6,,
337406106,Alkali Cr.,3337406106,,,0,0,45.83,-108.53,,,,,,
337406167,Allston,3337406167,NORTHWEST,Portland Area,3,500,46.11,-123.03,,,,,192.03,27.84
337406231,Alvey,3337406231,NORTHWEST,Western Oregon,3,500,44,-123.01,,,,,318.53,-199.54
337406240,Amax of Canada,3337406240,,,0,0,55.44,-129.51,,,,,,
337406297,Anaconda,3337406297,,,0,0,46.1,-112.88,,,,,,
337406298,Anaconda City,3337406298,,,0,0,46.13,-112.95,,,,,,
337406299,Anaconda Mill Creek,3337406299,NORTHWEST,Western Montana,1,230,46.11,-112.88,,,,,441.24,78.76
337406462,Arden,3337406462,NEVADA,ZoneN1,1,21,36.01,-115.21,109,57.78,19.8,8.63,73.65,-31.97
337406571,Ashe,3337406571,NORTHWEST,Lower Columbia Basin,14,500,46.48,-119.33,1151.2,-114.02,98.5,51.9,0,70.98
337406946,Base Line,3337406946,,,0,0,45.78,-108.7,,,,,,
337406955,Basin Creek Power,3337406955,,,0,0,45.93,-112.52,,,,,,
337406992,Battle River,3337406992,ALBERTA,AIES-Alliance/Battle River,1,21,52.47,-112.14,376.1,-55.54,18.7,9.4,133.35,31.31
337407067,Beacon (Spokane),3337407067,NORTHWEST,AVA: Spokane,2,230,47.68,-117.34,,,,,376.84,-224.36
337407093,Bears Ears,3337407093,,,0,0,40.51,-107.59,,,,,,
337407116,Beaver,3337407116,NORTHWEST,Portland General - Generation,3,230,46.16,-123.14,465,51.04,,,1.49,-1.25
337407118,Beaver,3337407118,NORTHWEST,Western Montana,1,500,45.28,-123.82,,,,,,
337407190,Belgrade (proposed 2005),3337407190,,,0,0,45.73,-111.21,,,,,,
337407193,Bell,3337407193,NORTHWEST,"Spokane Area, N Idaho, W Montana",8,500,47.75,-117.37,,,1,0.5,205.36,-15
337407237,Bellingham Division,3337407237,NORTHWEST,"Seattle Area, Olympic Peninsula",1,230,48.8,-122.42,,,,,40.37,10.36
337407263,Belt,3337407263,,,0,0,47.39,-110.95,,,,,,
337407281,Benchland,3337407281,,,0,0,47.04,-110.1,,,,,,
337407283,Benewah,3337407283,NORTHWEST,AVA: Palouse,1,230,47.35,-117.03,,,,,58.35,-7.6
337407300,Benton,3337407300,NORTHWEST,Lower Columbia Basin,1,230,46.46,-119.27,,,,,153.04,-73.91
337407368,Bethel (PGE),3337407368,NORTHWEST,Portland General - BES S/S,1,230,44.97,-122.91,,,,,241,-84.03
337407430,Big Eddy,3337407430,NORTHWEST,Lower Columbia Basin,11,500,45.61,-121.11,,,,,97.92,242.18
337407440,Big Horn Wind (PPM),3337407440,NORTHWEST,Lower Columbia Basin,1,230,45.83,-120.74,,,,,0,6.09
337407472,Big Timber Auto,3337407472,,,0,0,45.87,-109.96,,,,,,
337407483,Billings - Rimrock,3337407483,,,0,0,45.81,-108.49,,,,,,
337407484,Billings 8th St,3337407484,,,0,0,45.77,-108.54,,,,,,
337407485,Billings Bellrock,3337407485,,,0,0,45.78,-108.57,,,,,,
337407486,Billings City,3337407486,,,0,0,45.78,-108.5,,,,,,
337407488,Billings Eastside,3337407488,,,0,0,45.79,-108.49,,,,,,
337407490,Billings King Ave,3337407490,,,0,0,45.75,-108.58,,,,,,
337407491,Billings Meridian,3337407491,,,0,0,45.78,-108.63,,,,,,
337407492,Billings Steam Plant Switchyard,3337407492,,,0,0,45.77,-108.48,,,,,,
337407556,Black Eagle,3337407556,,,0,0,47.52,-111.26,,,,,,
337407699,Blue River,3337407699,,,0,0,52.11,-119.29,,,,,,
337407727,Boardman (PGE),3337407727,NORTHWEST,Lower Columbia Basin,5,500,45.69,-119.81,612,-78.96,30,15,189.31,-65.27
337407754,Bole,3337407754,,,0,0,47.7,-111.94,,,,,,
337407771,Bonanza,3337407771,PACE,UT DG&T,2,138,40.09,-109.29,485,-6.32,30.23,19.61,282.34,96.15
337407782,Bonner,3337407782,,,0,0,46.91,-113.97,,,,,,
337407786,Bonneville,3337407786,NORTHWEST,Portland Area,16,230,45.64,-121.94,1090.2,198.75,,,157.23,-7.96
337407825,Bothell,3337407825,NORTHWEST,Seattle City Light,3,230,47.86,-122.18,,,,,617.21,-40.48
337407831,Boulder,3337407831,,,0,0,46.21,-112.12,,,,,,
337407839,Boulder Park,3337407839,NORTHWEST,AVA: Spokane,1,230,47.7,-117.15,,,,,238.37,-44.48
337407846,Boundary,3337407846,NORTHWEST,Seattle City Light,12,230,48.98,-117.36,567.35,84.97,,,-632.44,179.05
337407895,Bozeman East Gallatin Auto,3337407895,,,0,0,45.69,-111.01,,,,,,
337407915,Bradley Creek,3337407915,,,0,0,45.49,-111.63,,,,,,
337408002,Bridger Auto,3337408002,,,0,0,45.32,-108.86,,,,,,
337408052,Broadview,3337408052,,,0,0,46.06,-108.85,,,,,,
337408053,Broadwater Power Project,3337408053,,,0,0,46.12,-111.41,,,,,,
337408209,Buckley,3337408209,NORTHWEST,Lower Columbia Basin,2,500,45.23,-120.9,,,,,,
337408315,Burns,3337408315,NORTHWEST,Southern Oregon,2,500,43.68,-118.77,,,,,27.26,-332.41
337408361,Butte,3337408361,,,0,0,46,-112.53,,,,,,
337408364,Butte Barge Pump,3337408364,,,0,0,46.03,-112.5,,,,,,
337408365,Butte Concentrator,3337408365,,,0,0,46.01,-112.5,,,,,,
337408366,Butte Continental Drive,3337408366,,,0,0,45.98,-112.49,,,,,,
337408367,Butte Corra,3337408367,,,0,0,46.03,-112.53,,,,,,
337408368,Butte Crusher,3337408368,,,0,0,46.01,-112.51,,,,,,
337408370,Butte Industrial Park,3337408370,,,0,0,45.93,-112.5,,,,,,
337408371,Butte MHD,3337408371,,,0,0,45.93,-112.51,,,,,,
337408372,Butte Montana Street,3337408372,,,0,0,45.99,-112.54,,,,,,
337408373,Butte Pacific Street,3337408373,,,0,0,46.02,-112.54,,,,,,
337408375,Butte Precipitator,3337408375,,,0,0,46.01,-112.5,,,,,,
337408376,Butte Tailings Booster (McQueen),3337408376,,,0,0,46.01,-112.49,,,,,,
337408422,Cabinet Gorge,3337408422,NORTHWEST,AVA: Coeur D'Alene,3,230,48.09,-116.06,185,18.19,,,55.87,20.79
337408462,Calapooya,3337408462,NORTHWEST,PAC:JCTN,1,230,44.38,-123.01,,,,,13.2,-4.6
337408525,Camas,3337408525,NORTHWEST,PAC:PTLD,1,69,45.58,-122.38,11,21,49.1,23.9,54.22,-38.15
337408606,Canby 2,3337408606,NORTHWEST,Southern Oregon,2,230,41.44,-120.88,,,,,4.03,-1.37
337408660,Canyon Ferry,3337408660,,,0,0,46.65,-111.73,,,,,,
337408690,Captain Jack,3337408690,NORTHWEST,Southern Oregon,7,500,42.08,-121.39,,,,,-16.03,58.21
337408757,Carlton,3337408757,NORTHWEST,Portland Area,1,230,45.28,-123.15,,,,,195.85,-31.51
337408764,Carmen Smith,3337408764,NORTHWEST,"Eugene, OR",1,11.5,44.34,-122,56.1,2.76,,,13.79,3.71
337408809,Carson,3337408809,,,0,0,45.72,-121.8,,,,,,
337408830,Carver,3337408830,NORTHWEST,Portland General - BES S/S,1,230,45.4,-122.53,,,,,362.09,-26.01
337408843,Cascade,3337408843,NORTHWEST,N.KING,1,230,37.53,-107.79,,,,,26.52,-6.9
337408877,Castle Rock,3337408877,,,0,0,45.84,-106.7,,,,,,
337408977,Celilo Dc Converter Station,3337408977,NORTHWEST,Lower Columbia Basin,4,500,45.6,-121.11,,,,,0,885.95
337408981,Cenex,3337408981,,,0,0,45.61,-108.83,,,,,,
337409051,Centralia Switching Station,3337409051,NORTHWEST,"Seattle Area, Olympic Peninsula",6,500,46.73,-122.84,1424,277.78,0,0,80.97,-57.56
337409201,Chehalis,3337409201,NORTHWEST,"Seattle Area, Olympic Peninsula",2,230,46.62,-122.92,,,,,228.84,-46.15
337409204,Chelan,3337409204,NORTHWEST,Central Washington,2,115,47.81,-119.99,60,25.34,1.8,0.6,143.89,7.53
337409209,Chemawa,3337409209,NORTHWEST,Portland Area,1,230,45.01,-123,,,,,166.72,173.88
337409220,Chenoweth,3337409220,NORTHWEST,Lower Columbia Basin,1,230,45.64,-121.2,,,,,65.08,-86.01
337409223,Cherokee (PSCO),3337409223,PSCOLORADO,ZoneRD,1,22,39.81,-104.97,360,164.86,31,27.09,768.89,-130.2
337409315,Chief Joseph,3337409315,NORTHWEST,Central Washington,26,500,47.99,-119.65,2184.5,363.12,,,0.21,48
337409332,Chiloquin,3337409332,NORTHWEST,PAC:KFAL,2,230,42.59,-121.84,,,,,21.21,6.71
337409370,Cholla,3337409370,ARIZONA,APS: N. AZ,1,22,34.94,-110.3,412,30.63,34,16.46,239.69,8.67
337409381,Christopher,3337409381,NORTHWEST,S.KING,1,230,47.29,-122.24,,,,,,
337409383,Chrome Junction,3337409383,,,0,0,45.35,-109.6,,,,,,
337409539,Clatsop,3337409539,NORTHWEST,Portland Area,1,230,46.14,-123.84,,,,,81.13,-28.36
337409622,Clinton,3337409622,,,0,0,46.75,-113.72,,,,,,
337409657,Clyde Park,3337409657,,,0,0,45.82,-110.57,,,,,,
337409704,Cochrane (PPLMON),3337409704,,,0,0,47.55,-111.15,,,,,,
337409756,Cold Springs,3337409756,NORTHWEST,Portland General - Industrial,1,230,45.89,-119.23,,,,,10.73,-8.33
337409856,Colstrip,3337409856,,,0,0,45.89,-106.61,,,,,,
337409867,Columbia,3337409867,NORTHWEST,Central Washington,1,230,47.29,-120.08,,,,,41.02,-22.39
337409874,Columbia Falls,3337409874,NORTHWEST,Western Montana,2,230,48.36,-114.14,,,,,70.55,-3.32
337409896,Columbus Rapelje Auto,3337409896,,,0,0,45.85,-109.31,,,,,,
337409906,Comanche,3337409906,PSCOLORADO,ZoneRS,3,27,38.27,-104.62,1505,246.97,103.71,103.33,1175.37,-97.11
337409954,Con Kelley,3337409954,NORTHWEST,Western Montana,1,230,48.39,-114.13,,,78,32.5,0,0
337409994,Conrad,3337409994,,,0,0,48.11,-111.92,,,,,,
337410033,Cool Water Coal Gasification,3337410033,,,0,0,35.03,-116.91,,,,,,
337410112,Coronado,3337410112,ARIZONA,SRP-TSW,2,22,34.58,-109.28,840,-56.27,77,47.7,446.54,-212.88
337410194,Cove,3337410194,NORTHWEST,PAC:C.OR,1,230,42.53,-111.8,,,,,55.2,-13.06
337410196,Cove,3337410196,,,0,0,40.33,-117.21,,,,,,
337410205,Covington,3337410205,NORTHWEST,"Seattle Area, Olympic Peninsula",6,500,47.35,-122.12,,,,,0,419.17
337410218,Cowlitz,3337410218,NORTHWEST,Tacoma Power - General,1,230,46.11,-122.94,,,,,230.11,-2.42
337410219,Cowlitz,3337410219,,,0,0,47.18,-122.37,,,,,,
337410221,Cowlitz Falls,3337410221,NORTHWEST,"Seattle Area, Olympic Peninsula",1,230,46.46,-122.1,39.8,17.68,,,,
337410234,Coyote Springs,3337410234,NORTHWEST,Portland General - BES S/S,6,500,45.85,-119.67,507.8,141.44,3.5,1.21,-0.53,17.23
337410259,Craig (TSGT),3337410259,WAPA R.M.,ZoneR4,5,345,40.47,-107.59,1335,-14.81,76.4,24.7,841.28,367.17
337410309,Creston,3337410309,NORTHWEST,Seattle City Light,1,230,47.51,-122.27,,,70.83,10.55,,
337410310,Creston,3337410310,,,0,0,47.77,-118.51,,,,,,
337410366,Crossover,3337410366,,,0,0,45.74,-107.7,,,,,,
337410378,Crow Creek,3337410378,,,0,0,46,-111.47,,,,,,
337410400,Crystal,3337410400,,,0,0,39.3,-107.21,,,,,,
337410468,Cushman 2,3337410468,NORTHWEST,Tacoma Power - General,1,12.6,47.37,-123.16,61,10.88,,,41.91,-20.36
337410469,Cusick,3337410469,NORTHWEST,"Spokane Area, N Idaho, W Montana",2,230,48.33,-117.37,,,,,0,0
337410472,Custer,3337410472,NORTHWEST,"Seattle Area, Olympic Peninsula",7,500,48.9,-122.62,,,,,5205.5,1084.77
337410474,Custer,3337410474,,,0,0,46.12,-107.51,,,,,,
337410535,Dalreed,3337410535,NORTHWEST,PAC:DALR,3,230,45.76,-120,,,5.41,1.91,,
337410710,Deer Lodge City,3337410710,,,0,0,46.38,-112.72,,,,,,
337410784,Delridge,3337410784,NORTHWEST,Seattle City Light,1,230,47.55,-122.37,,,141.26,21.05,,
337410791,Delta Energy Center (CPN),3337410791,PG AND E,Generation (Fossil & Non-peaker,1,24,38.02,-121.85,280,89.15,,,207.37,-95.56
337410875,Detroit,3337410875,NORTHWEST,Western Oregon,2,230,44.72,-122.25,51.8,-6.16,,,,
337410919,Diablo,3337410919,NORTHWEST,Seattle City Light,3,230,48.71,-121.13,155.04,11.39,,,,
337410920,Diablo,3337410920,,,0,0,31.81,-106.59,,,,,,
337410921,Diablo Canyon,3337410921,PG AND E,Generation (Nuclear),2,25,35.22,-120.85,2399,-4.66,100,51.24,968.62,250.15
337410927,Diamond Match,3337410927,,,0,0,47.13,-114.8,,,,,,
337410968,Dillon - Salmon,3337410968,,,0,0,45.24,-112.74,,,,,,
337410985,Divide,3337410985,,,0,0,39.02,-105.04,,,,,,
337411001,Dixonville,3337411001,NORTHWEST,PAC:ROSE,4,500,43.21,-123.24,,,,,109.25,-44.35
337411112,Douglas,3337411112,NORTHWEST,Central Washington,1,230,47.53,-120.29,,,,,39.16,-8.71
337411162,Driscoll,3337411162,NORTHWEST,Portland Area,2,230,46.15,-123.41,,,,,,
337411177,Drummond Pump,3337411177,,,0,0,46.64,-113.08,,,,,,
337411184,Dry Gulch,3337411184,NORTHWEST,AVA: Lewiston/Clarkston,1,230,46.4,-117.21,,,,,65.84,-4.51
337411293,Dutton,3337411293,,,0,0,47.85,-111.7,,,,,,
337411301,Duwamish,3337411301,NORTHWEST,Seattle City Light,2,230,47.51,-122.31,,,195.52,29.13,,
337411304,Dworshak,3337411304,NORTHWEST,Southeast Washington,4,500,46.51,-116.3,316,-45.55,,,57.94,-169.87
337411441,East Helena Switchyard,3337411441,,,0,0,46.59,-111.95,,,,,,
337411468,East Omak,3337411468,NORTHWEST,Central Washington,1,230,48.43,-119.5,,,,,115.53,-3.05
337411547,Eastpine,3337411547,NORTHWEST,Seattle City Light,1,230,47.61,-122.3,,,150.28,22.39,117.03,-29.31
337411550,Eastside,3337411550,,,0,0,36.07,-114.8,,,,,,
337411565,Echo Lake,3337411565,NORTHWEST,"Seattle Area, Olympic Peninsula",3,500,47.49,-121.87,,,,,0,752.38
337411652,El Capitan,3337411652,,,0,0,37.34,-120.51,,,,,,
337411665,El Nido,3337411665,,,0,0,33.9,-118.37,,,,,,
337411690,Eldorado,3337411690,,,0,0,35.8,-115.01,,,,,,
337411809,Ely Wind Generation,3337411809,,,0,0,39.25,-114.79,,,,,,
337411822,Emigrant Auto,3337411822,,,0,0,45.33,-110.76,,,,,,
337411848,Encogen NW,3337411848,NORTHWEST,WHATCOM,2,115,48.75,-122.48,53,6.27,,,54.02,-16.85
337411881,Ennis Auto,3337411881,,,0,0,45.41,-111.78,,,,,,
337411966,Etiwanda,3337411966,SOCALIF,SCE Los Angeles Basin 230kV,2,18,34.09,-117.53,500,209.18,,,559.58,-80.88
337411988,Eustis,3337411988,,,0,0,45.98,-111.44,,,,,,
337412085,Fairmount,3337412085,NORTHWEST,"Seattle Area, Olympic Peninsula",1,230,47.98,-122.88,,,,,77.23,114.07
337412090,Fairview,3337412090,NORTHWEST,Western Oregon,3,230,43.21,-124.07,,,,,78.81,51.25
337412091,Fairview,3337412091,,,0,0,56.06,-118.39,,,,,,
337412334,Flathead,3337412334,NORTHWEST,Western Montana,1,230,48.29,-114.24,,,82.9,27.2,,
337412405,Foothill,3337412405,,,0,0,35.29,-120.71,,,,,,
337412421,Ford,3337412421,,,0,0,47.92,-117.8,,,,,,
337412460,Forrest Kerr Hydroelectric Project,3337412460,,,0,0,56.52,-131.3,,,,,,
337412508,Fort Peck,3337412508,,,0,0,48.01,-106.41,,,,,,
337412524,Fort St. Vrain,3337412524,PSCOLORADO,ZoneRN,1,22,40.24,-104.87,260,-0.96,8,6.7,410.63,-30.97
337412567,Four Corners (AZPS),3337412567,ARIZONA,APS,2,22,36.69,-108.49,1596,6.99,96.2,46.6,382.13,14.78
337412618,Franklin,3337412618,NORTHWEST,Lower Columbia Basin,1,230,46.23,-119.04,,,,,157.97,-166.09
337412620,Franklin,3337412620,,,0,0,38.01,-122.26,,,,,,
337412666,Fredonia (PSPL),3337412666,NORTHWEST,SKAGIT,6,230,48.56,-122.33,349,12.83,0.22,0.37,130.38,37.93
