Gen,,,,,,,,,,,,,,,,
Number of Bus,Name of Bus,Sub Name of Bus,Area Name of Bus,ID,Status,Gen MW,Gen Mvar,Set Volt,AGC,AVR,Min MW,Max MW,Min Mvar,Max Mvar,Cost Model,Part. Factor
40296,COULEE22,Grand Coulee,NORTHWEST,1,Closed,998.96,0,1.08,YES,YES,0,825.7,0,0,None,825.7
40297,COULEE23,Grand Coulee,NORTHWEST,1,Closed,697.7,106.81,1.08,YES,YES,0,825.7,-294.31,290.58,None,825.7
40298,COULEE24,Grand Coulee,NORTHWEST,1,Closed,697.7,106.81,1.08,YES,YES,0,825.7,-294.31,290.58,None,825.7
40307,COWFALLS,Cowlitz Falls,NORTHWEST,1,Closed,19.9,2.21,1.04,YES,YES,0,35,-10,10,None,35
40307,COWFALLS,Cowlitz Falls,NORTHWEST,2,Closed,19.9,2.21,1.04,YES,YES,0,35,-10,10,None,35
40344,DETROIT,Detroit,NORTHWEST,1,Closed,51.8,-13.61,1,YES,YES,0,60,-31.9,27.26,None,60
40344,DETROIT,Detroit,NORTHWEST,2,Open,0,0,1,YES,YES,0,60,-31.9,27.19,None,60
40361,DWOR 1,Dworshak,NORTHWEST,1,Closed,91.7,-26.5,1.01,YES,YES,0,103,-43,39.08,None,103
40365,DWOR 3,Dworshak,NORTHWEST,1,Closed,224.3,-18.57,1,YES,YES,0,252,-108,93.77,None,252
40555,HUNGHR12,Hungry Horse,NORTHWEST,1,Closed,86,41.52,1.02,YES,YES,0,107.5,-41.06,59.21,None,107.5
40555,HUNGHR12,Hungry Horse,NORTHWEST,2,Closed,86,41.52,1.02,YES,YES,0,107.5,-41.06,59.21,None,107.5
40559,ICE H1-1,Ice Harbor,NORTHWEST,1,Closed,91,7.17,1.03,YES,YES,0,103,-59.38,41.09,None,103
40560,ICE H1-2,,NORTHWEST,2,Closed,91,7.17,1.03,YES,YES,0,103,-59.38,41.09,None,103
40561,ICE H2-3,Ice Harbor,NORTHWEST,3,Closed,90.7,9.96,1.03,YES,YES,0,103,-59.9,41.28,None,103
40562,ICE H2-4,,NORTHWEST,4,Closed,112.6,12.45,1.03,YES,YES,0,128,-72.62,48.86,None,128
40563,ICE H3-5,Ice Harbor,NORTHWEST,5,Closed,113,11.97,1.03,YES,YES,0,128,-71.93,48.65,None,128
40717,MCNARY,McNary,NORTHWEST,1,Closed,7,0,1.03,YES,NO,0,8,0,0,None,8
40813,PARKDALE,Parkdale,NORTHWEST,1,Closed,2,0,1,YES,NO,0,2,0,0,None,2
41306,LOST CRK,Lost Creek,NORTHWEST,1,Closed,14.9,0.7,1,YES,YES,12,28,-25.22,15.05,None,28
41306,LOST CRK,Lost Creek,NORTHWEST,2,Closed,14.9,0.7,1,YES,YES,12,28,-25.22,15.05,None,28
41721,COULEE01,Grand Coulee,NORTHWEST,1,Closed,115,8.37,1.04,YES,YES,0,125,-42.9,26.6,None,125
41722,COULEE02,Grand Coulee,NORTHWEST,2,Closed,115,9.57,1.04,YES,YES,0,125,-42.9,26.6,None,125
41723,COULEE03,Grand Coulee,NORTHWEST,3,Closed,115,9.66,1.04,YES,YES,0,125,-42.9,26.6,None,125
41724,COULEE04,Grand Coulee,NORTHWEST,4,Closed,115,7.03,1.04,YES,YES,0,125,-42.9,26.6,None,125
41725,COULEE05,Grand Coulee,NORTHWEST,5,Closed,115,7.08,1.04,YES,YES,0,125,-42.9,26.6,None,125
41726,COULEE06,Grand Coulee,NORTHWEST,6,Closed,115,9.77,1.04,YES,YES,0,125,-42.9,26.6,None,125
41727,COULEE07,Grand Coulee,NORTHWEST,7,Closed,115,5.63,1.04,YES,YES,0,125,-42.9,26.6,None,125
41728,COULEE08,Grand Coulee,NORTHWEST,8,Closed,115,5.63,1.04,YES,YES,0,125,-42.9,26.6,None,125
41729,COULEE09,Grand Coulee,NORTHWEST,9,Closed,115,10.07,1.04,YES,YES,0,125,-42.9,26.6,None,125
41730,COULEE10,Grand Coulee,NORTHWEST,A,Closed,115,5.52,1.04,YES,YES,0,125,-42.9,26.6,None,125
41731,COULEE11,Grand Coulee,NORTHWEST,B,Closed,115,5.52,1.04,YES,YES,0,125,-42.9,26.6,None,125
41732,COULEE12,Grand Coulee,NORTHWEST,C,Closed,115,5.52,1.04,YES,YES,0,125,-42.9,26.6,None,125
41733,COULEE13,Grand Coulee,NORTHWEST,D,Closed,115,11.09,1.04,YES,YES,0,125,-42.9,26.6,None,125
41734,COULEE14,Grand Coulee,NORTHWEST,E,Closed,115,10.85,1.04,YES,YES,0,125,-42.9,26.6,None,125
41735,COULEE15,Grand Coulee,NORTHWEST,F,Closed,115,10.85,1.04,YES,YES,0,125,-42.9,26.6,None,125
41736,COULEE16,Grand Coulee,NORTHWEST,G,Closed,115,6.65,1.04,YES,YES,0,125,-42.9,26.6,None,125
41737,COULEE17,Grand Coulee,NORTHWEST,I,Closed,115,6.65,1.04,YES,YES,0,125,-42.9,26.6,None,125
41738,COULEE18,Grand Coulee,NORTHWEST,J,Closed,115,6.65,1.04,YES,YES,0,125,-42.9,26.6,None,125
42014,ENSERCHL,Encogen NW,NORTHWEST,L,Closed,53,6.34,1.01,YES,YES,0,53,-4.4,13.8,None,53
42021,SUMAS 1,Sumas Cogeneration Company LP,NORTHWEST,1,Closed,97,-10.59,1,YES,YES,0,97,-37,68,None,97
42031,FERNDL 1,Terrell Creek,NORTHWEST,1,Closed,91.1,44.6,1.03,YES,YES,0,91.1,-16,56,None,91.1
42032,FERNDL 2,Terrell Creek,NORTHWEST,2,Closed,91.1,44.6,1.03,YES,YES,0,91.1,-16,56,None,91.1
42033,FERNDL L,Terrell Creek,NORTHWEST,L,Closed,85,45.95,1.03,YES,YES,0,99.9,-16,48,None,99.9
42042,WHITHRN2,Whitehorn,NORTHWEST,2,Closed,81.1,-11.6,1,YES,YES,0,81.1,-11.6,43.8,None,81.1
42043,WHITHRN3,Whitehorn,NORTHWEST,3,Closed,81.1,-11.6,1,YES,YES,0,81.1,-11.6,43.8,None,81.1
42111,FREDONA1,Fredonia (PSPL),NORTHWEST,1,Closed,114,10.9,1,YES,YES,0,114,-41.9,79.6,None,114
42112,FREDONA2,Fredonia (PSPL),NORTHWEST,2,Closed,114,10.9,1,YES,YES,0,114,-41.9,79.6,None,114
42114,FREDONA3,Fredonia (PSPL),NORTHWEST,3,Closed,60.5,-9.46,1,YES,YES,0,60.5,-15,34,None,60.5
42115,FREDONA4,Fredonia (PSPL),NORTHWEST,4,Closed,60.5,-9.46,1,YES,YES,0,60.5,-15,34,None,60.5
42121,LO BAKER,Lower Baker,NORTHWEST,1,Closed,77,-5.62,1,YES,YES,0,77,-25,29,None,77
42124,UP BAKER,Upper Baker,NORTHWEST,1,Closed,43,-1.38,1,YES,YES,0,49,-21,22.4,None,49
42124,UP BAKER,Upper Baker,NORTHWEST,2,Closed,39,-1.38,1,YES,YES,0,43,-22.8,24,None,43
42721,FREDERC1,Frederickson (PSPL),NORTHWEST,1,Closed,81.1,-8.26,1,YES,YES,0,81.1,-20.3,50.3,None,81.1
42722,FREDERC2,Frederickson (PSPL),NORTHWEST,2,Closed,81.1,-8.26,1,YES,YES,0,81.1,-20.3,50.3,None,81.1
43017,BEAVER,Beaver,NORTHWEST,1,Closed,55,5.02,1.018,YES,YES,0,60.7,-8,30,None,60.7
43017,BEAVER,Beaver,NORTHWEST,2,Closed,55,5.02,1.018,YES,YES,0,60.7,-8,30,None,60.7
43017,BEAVER,Beaver,NORTHWEST,3,Closed,55,5.02,1.018,YES,YES,0,60.7,-8,30,None,60.7
43017,BEAVER,Beaver,NORTHWEST,4,Closed,55,5.02,1.018,YES,YES,0,60.7,-8,30,None,60.7
43017,BEAVER,Beaver,NORTHWEST,5,Closed,55,5.02,1.018,YES,YES,0,60.7,-8,30,None,60.7
