Bus,,,,,,,,,,,,,,,,,,
Number,Name,Sub ID,Sub Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
40711,ECHMAP11,3337417861,Mcloughlin,NORTHWEST,500,1.09067,545.337,-18.8,,,,337417861,,,0,0,40,400
40710,GRIMAL26,3337414038,Grizzly Power,NORTHWEST,500,1.09048,545.24,-21.37,,,,337414038,,,0,0,40,405
40096,BELL SC,3337407193,Bell,NORTHWEST,500,1.09015,545.073,0.37,,,,337407193,,-176.84,0,0,40,406
40716,ASHMAR21,3337406571,Ashe,NORTHWEST,500,1.08979,544.893,-11.38,,,,337406571,,,0,0,40,404
40869,RAVER,3337421613,Raver,NORTHWEST,500,1.08957,544.785,-18.12,,,,337421613,,760.62,0,0,40,400
41058,RAVTAC11,3337424717,Tacoma,NORTHWEST,500,1.08957,544.785,-18.13,,,,337424717,,,0,0,40,400
41060,RAVTAC12,3337424728,Taft,NORTHWEST,500,1.08902,544.512,-18.54,,,,337424728,,,0,0,40,400
41062,BELTAF11,3337411304,Dworshak,NORTHWEST,500,1.08886,544.43,3.47,,,,337411304,,,0,0,40,406
40834,PONDROSB,3337421061,Ponderosa,NORTHWEST,500,1.0882,544.1,-21.89,,,,337421061,,,0,0,40,405
40720,BUCMAR11,3337408209,Buckley,NORTHWEST,500,1.08774,543.868,-22.58,,,,337408209,,,0,0,40,404
60240,MIDPOINT,3337418158,Midpoint,IDAHO,500,1.08771,543.856,-21.69,,,,337418158,,-129.4,119.62,1153.61,60,613
40488,GRIZZ R3,3337414038,Grizzly Power,NORTHWEST,500,1.08743,543.714,-20.48,,,,337414038,,0,0,0,40,405
40964,ECHSCH11,3337411565,Echo Lake,NORTHWEST,500,1.08736,543.682,-17.08,,,,337411565,,,0,0,40,400
40702,GRIMAL22,3337414038,Grizzly Power,NORTHWEST,500,1.08714,543.572,-20.45,,,,337414038,,,0,0,40,405
40490,BUCGRI11,25000019,Greenbry,NORTHWEST,500,1.08701,543.505,-17.68,,,,25000019,,,0,0,40,404
40976,RAVSCH31,3337423081,Selle,NORTHWEST,500,1.08694,543.472,-13.81,,,,337423081,,,0,0,40,400
40978,RAVSCH41,3337423081,Selle,NORTHWEST,500,1.08675,543.375,-13.52,,,,337423081,,,0,0,40,400
40155,BUCKLEY,3337408209,Buckley,NORTHWEST,500,1.08662,543.312,-17.42,,,,337408209,,,0,0,40,404
40489,GRIZZLY,3337414038,Grizzly Power,NORTHWEST,500,1.08654,543.268,-20.31,,,,337414038,,-292.66,0,0,40,405
41051,TACOMA,3337424717,Tacoma,NORTHWEST,500,1.08638,543.191,-19.95,,,,337424717,,,0,0,40,400
40722,JOHMAR11,3337415584,John Day Ph,NORTHWEST,500,1.08625,543.124,-21.71,,,,337415584,,,0,0,40,404
40712,ECHMAP12,3337417523,Maple Valley,NORTHWEST,500,1.08611,543.053,-19.77,,,,337417523,,,0,0,40,400
40693,MAPLE VL,3337417523,Maple Valley,NORTHWEST,500,1.08594,542.969,-19.81,,,,337417523,,,0,0,40,400
45029,BURNS,3337408315,Burns,NORTHWEST,500,1.08587,542.934,-26.17,,,,337408315,,0,27.26,-86.13,40,405
43115,COYO M1,3337410234,Coyote Springs,NORTHWEST,500,1.08567,542.837,5.2,,,,337410234,,,0,0,40,451
40306,COVINGT5,3337410205,Covington,NORTHWEST,500,1.08521,542.606,-19.03,,,,337410205,,,0,0,40,400
40699,MARION,3337417576,Marion,NORTHWEST,500,1.08506,542.532,-26.65,,,,337417576,,0,0,0,40,402
40302,COVINGT4,3337410205,Covington,NORTHWEST,500,1.08463,542.317,-19.17,,,,337410205,,,0,0,40,400
40941,SANTIAM,3337422861,Santiam,NORTHWEST,500,1.08451,542.253,-26.85,,,,337422861,,,0,0,40,402
40989,SLATT,3337423497,Slatt,NORTHWEST,500,1.08385,541.926,-11.88,,,,337423497,,0,0,0,40,404
40500,COUHAN11,3337413746,Grand Coulee,NORTHWEST,500,1.08372,541.858,-3.72,,,,337413746,,,0,0,40,404
43123,COYOTE,3337410234,Coyote Springs,NORTHWEST,500,1.08371,541.853,-8.76,,,,337410234,,,-7.47,241.42,40,451
40809,OSTRNDER,3337420092,Ostrander,NORTHWEST,500,1.08336,541.678,-25.87,,,,337420092,,372.52,0,0,40,401
40957,SCHULTZ,3337422960,Schultz,NORTHWEST,500,1.08332,541.661,-10.05,,,,337422960,,-290.93,0,0,40,403
40973,SICKLER,3337423346,Sickler,NORTHWEST,500,1.08321,541.607,-5.79,,,,337423346,,,0,0,40,403
44284,LONGHORN,,,NORTHWEST,500,1.08318,541.591,-8.57,,,,,,,0,0,40,404
40714,ALVMAR11,3337406231,Alvey,NORTHWEST,500,1.08282,541.409,-34.19,,,,337406231,,,0,0,40,402
40051,ALVEY,3337406231,Alvey,NORTHWEST,500,1.08265,541.323,-30.45,,,,337406231,,-210.98,0,0,40,402
41401,ROCK CK,32008950,Rock Creek,NORTHWEST,500,1.08247,541.236,-13.71,,,,32008950,,,0,0,40,404
43485,ROUND BU,3337422305,Round Butte,NORTHWEST,500,1.08224,541.121,-20.39,,,,337422305,,,0,0,40,451
40499,HANFORD,3337414242,Hanford,NORTHWEST,500,1.08188,540.939,-7.16,,,,337414242,,0,0,0,40,404
41113,VANTAGE,3337431517,Vantage,NORTHWEST,500,1.08167,540.837,-7.67,,,,337431517,,,0,0,40,403
40827,PEARL,3337420488,Pearl,NORTHWEST,500,1.08123,540.613,-27.88,,,,337420488,,340.19,0,0,40,401
40913,SACJAWEA,3337422524,Sacajawea,NORTHWEST,500,1.08123,540.613,-4.76,,,,337422524,,,10.99,176.15,40,404
40917,SACJWA T,3337422524,Sacajawea,NORTHWEST,500,1.08123,540.613,-4.75,,,,337422524,,,0,0,40,404
40459,GARRISON,3337413294,Garrison,NORTHWEST,500,1.08113,540.567,12.64,,,,337413294,,-434.81,0,0,40,486
40960,COUSCH12,3337422960,Schultz,NORTHWEST,500,1.08105,540.524,-5.47,,,,337422960,,,0,0,40,403
40962,COUSCH22,3337422960,Schultz,NORTHWEST,500,1.08105,540.524,-5.47,,,,337422960,,,0,0,40,403
41138,WAUTOMA,3337432067,Wautoma,NORTHWEST,500,1.0809,540.448,-8.95,,,,337432067,,-289.63,0,0,40,403
40996,BUCSLA11,3337423568,Snohomish,NORTHWEST,500,1.08082,540.409,-9.63,,,,337423568,,,0,0,40,404
40666,CEN FERY,Found Sub,Central Ferry,NORTHWEST,500,1.08078,540.388,0.21,,,,52000118,,0,0,0,40,407
41311,CELILO1,3337408977,Celilo Dc Converter Station,NORTHWEST,500,1.08065,540.326,-16.71,,,,337408977,,,0,0,40,404
41312,CELILO2,3337408977,Celilo Dc Converter Station,NORTHWEST,500,1.08065,540.326,-16.71,,,,337408977,,,0,0,40,404
40111,BIG EDDY,3337407430,Big Eddy,NORTHWEST,500,1.08065,540.325,-16.71,,,,337407430,,,0,0,40,404
40062,ASHE R1,3337406571,Ashe,NORTHWEST,500,1.08042,540.209,-6.59,,,,337406571,,0,0,0,40,404
41057,TAFT,3337424728,Taft,NORTHWEST,500,1.08027,540.136,6.64,,,,337424728,,-217.06,0,0,40,486
41095,TROUTDAL,3337429325,Troutdale,NORTHWEST,500,1.08017,540.086,-27.17,,,,337429325,,,0,0,40,401
41741,COULEE21,3337413746,Grand Coulee,NORTHWEST,500,1.08007,540.037,0.6,,,,337413746,,,0,0,40,403
41740,COULEE20,3337413746,Grand Coulee,NORTHWEST,500,1.08007,540.037,0.6,,,,337413746,,,0,0,40,403
41739,COULEE19,3337413746,Grand Coulee,NORTHWEST,500,1.08007,540.037,0.6,,,,337413746,,,0,0,40,403
41744,COULEE24,3337413746,Grand Coulee,NORTHWEST,500,1.08004,540.019,0.61,,,,337413746,,,0,0,40,403
41743,COULEE23,3337413746,Grand Coulee,NORTHWEST,500,1.08003,540.017,0.62,,,,337413746,,,0,0,40,403
41742,COULEE22,3337413746,Grand Coulee,NORTHWEST,500,1.08001,540.004,0.62,,,,337413746,,,0,0,40,403
43049,BOARD F,3337407727,Boardman (PGE),NORTHWEST,500,1.08,540,-10.79,,,,337407727,,,0,0,40,451
40585,JOHN DAY,3337415584,John Day Ph,NORTHWEST,500,1.08,540,-14.78,,,,337415584,,0,0,0,40,404
40061,ASHE,3337406571,Ashe,NORTHWEST,500,1.08,540,-6.46,,,,337406571,,0,0,0,40,404
40233,CHIEF JO,3337409315,Chief Joseph,NORTHWEST,500,1.08,540,-1.74,,,,337409315,,,0,0,40,403
40683,LOW MON,3337417166,Lower Monumental,NORTHWEST,500,1.08,540,-2.64,,,,337417166,,0,0,0,40,407
40287,COULEE,3337413746,Grand Coulee,NORTHWEST,500,1.08,540,0.53,,,,337413746,,,0,0,40,403
40665,LIT GOOS,3337416875,Little Goose,NORTHWEST,500,1.08,540,-0.38,,,,337416875,,,0,0,40,407
40679,LOW GRAN,3337417159,Lower Granite,NORTHWEST,500,1.08,540,1.13,,,,337417159,,,0,0,40,407
623207,COLSTRIP 500,,,MONTANA,500,1.08,540,31.13,,,,,,,251.56,400.15,62,628
44166,CHJ PH5,3337409315,Chief Joseph,NORTHWEST,500,1.07989,539.943,-1.68,,,,337409315,,,-4.71,226.81,40,403
44167,CHJ PH6,3337409315,Chief Joseph,NORTHWEST,500,1.07986,539.931,-1.65,,,,337409315,,,-9.49,454.6,40,403
44237,LWG PH1,3337417159,Lower Granite,NORTHWEST,500,1.07985,539.923,1.19,,,,337417159,,,0,375.11,40,407
44257,LMN PH1,3337417166,Lower Monumental,NORTHWEST,500,1.07965,539.824,-2.54,,,,337417166,,,0,370.75,40,407
44217,LGS PH1,3337416876,Little Goose Ph,NORTHWEST,500,1.07963,539.815,-0.21,,,,337416876,,,0,517.95,40,407
40521,HATWAI,3337414433,Hatwai,NORTHWEST,500,1.07929,539.646,1.75,,,,337414433,,,0,0,40,407
40288,COULE R1,3337413746,Grand Coulee,NORTHWEST,500,1.07928,539.641,0.58,,,,337413746,,-288.77,0,0,40,403
41001,SNOK TAP,3337423567,Sno-king,NORTHWEST,500,1.07926,539.631,-20.99,,,,337423567,,,0,0,40,400
40723,MCNARY,3337417877,McNary,NORTHWEST,500,1.07925,539.623,-7.71,,,,337417877,,,0,0,40,404
47638,HERMCALP,3337414608,Hermiston Power Project,NORTHWEST,500,1.07884,539.418,-6.87,,,,337414608,,,0,0,40,404
44089,JDA PH4,3337415584,John Day Ph,NORTHWEST,500,1.07879,539.394,-14.56,,,,337415584,,,0,260.39,40,404
30020,OLINDA,3337419925,Olinda,PG AND E,500,1.0787,539.349,-33.38,,,,337419925,,0,1057.85,378.51,30,300
40592,GRIJOH21,3337415779,Keeler,NORTHWEST,500,1.07866,539.331,-14.67,,,,337415779,,,0,0,40,405
40588,GRIJOH11,3337414038,Grizzly Power,NORTHWEST,500,1.07853,539.263,-14.64,,,,337414038,,,0,0,40,405
44086,JDA PH1,3337415584,John Day Ph,NORTHWEST,500,1.07824,539.119,-14.49,,,,337415584,,,0,261.29,40,404
44087,JDA PH2,3337415584,John Day Ph,NORTHWEST,500,1.07824,539.119,-14.49,,,,337415584,,,0,261.05,40,404
44088,JDA PH3,3337415584,John Day Ph,NORTHWEST,500,1.07822,539.109,-14.49,,,,337415584,,,0,256.91,40,404
41070,GARTAF12,3337413294,Garrison,NORTHWEST,500,1.07781,538.903,11.12,,,,337413294,,,0,0,40,486
41074,GARTAF22,3337407118,Beaver,NORTHWEST,500,1.07781,538.903,11.12,,,,337407118,,,0,0,40,486
40749,MONROE,3337418498,Monroe,NORTHWEST,500,1.07761,538.807,-21.15,,,,337418498,,366.96,0,0,40,400
40369,DWORSHAK,3337411304,Dworshak,NORTHWEST,500,1.07649,538.243,3.96,,,,337411304,,-172.43,-1.92,150.7,40,407
40966,ECHSCH12,3337411565,Echo Lake,NORTHWEST,500,1.07636,538.179,-10.24,,,,337411565,,,0,0,40,400
